Term,Session,Bidding Window,Course Code,Description,Section,Vacancy,Opening Vacancy,Before Process Vacancy,D.I.C.E,After Process Vacancy,Enrolled Students,Median Bid,Min Bid,Instructor,School/Department
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G1,45,45,2,0,2,43,0.00,0.00, GRACE FAN,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G10,45,45,6,0,6,39,0.00,0.00, CHARLES CHEN,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G11,45,45,0,0,0,45,0.00,0.00, CHARMAYNE HIGHFIELD,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G12,45,45,2,0,2,43,0.00,0.00, CHARMAYNE HIGHFIELD,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G2,45,45,2,0,2,43,0.00,0.00, GRACE FAN,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G3,45,45,0,0,0,45,0.00,0.00, LIN PENGKAI,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G4,45,45,2,0,2,43,0.00,0.00, LIN PENGKAI,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G5,45,45,4,0,4,41,0.00,0.00, LIN PENGKAI,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G6,45,45,1,0,1,44,0.00,0.00," NG RUIMIN, SHAPHAN HARUN",SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G7,45,45,0,0,0,45,0.00,0.00," NG RUIMIN, SHAPHAN HARUN",SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G8,45,45,2,0,2,43,0.00,0.00," NG RUIMIN, SHAPHAN HARUN",SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G9,45,45,4,0,4,41,0.00,0.00, AMANDA AW YONG ZHI XIN,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G1,45,45,1,0,1,44,0.00,0.00, KATHERINE YUEN,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G2,45,45,6,0,6,39,0.00,0.00, KATHERINE YUEN,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G3,45,45,2,0,2,43,0.00,0.00, KATHERINE YUEN,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G4,45,45,1,0,1,44,0.00,0.00, FANG BINGXU,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G5,45,45,2,0,2,43,0.00,0.00, FANG BINGXU,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G6,45,45,15,0,15,30,0.00,0.00, FANG BINGXU,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G7,45,45,0,0,0,45,0.00,0.00, KELLY NGO,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G8,45,45,4,0,4,41,0.00,0.00, KELLY NGO,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G1,45,45,4,0,4,41,0.00,0.00, AN-PING LIN,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G2,45,45,5,0,5,40,0.00,0.00, AN-PING LIN,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G3,45,45,5,0,5,40,0.00,0.00, AN-PING LIN,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G4,45,45,7,0,7,38,0.00,0.00, AN-PING LIN,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G5,45,45,5,0,5,40,0.00,0.00, PRASART JONGJAROENKAMOL,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G6,45,45,8,0,8,37,0.00,0.00, PRASART JONGJAROENKAMOL,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G7,45,45,7,0,7,38,0.00,0.00, PRASART JONGJAROENKAMOL,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G8,45,45,5,0,5,40,0.00,0.00, PRASART JONGJAROENKAMOL,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G1,45,45,1,0,1,44,0.00,0.00, CHEN CHIH-YING,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G2,45,45,3,0,3,42,0.00,0.00, CHEN CHIH-YING,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G3,45,45,9,0,8,37,10.00,10.00, CHEN CHIH-YING,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G4,45,45,8,0,8,37,0.00,0.00, CHEN CHIH-YING,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G5,45,45,19,0,19,26,0.00,0.00, CHARLES CHEN,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT221,Accounting Information Systems,G1,45,45,1,0,1,44,0.00,0.00, WONG SUAY PENG,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT221,Accounting Information Systems,G2,45,45,1,0,1,44,0.00,0.00, WONG SUAY PENG,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT221,Accounting Information Systems,G3,45,45,3,0,3,42,0.00,0.00, WONG SUAY PENG,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT221,Accounting Information Systems,G4,45,45,10,0,10,35,0.00,0.00, WONG SUAY PENG,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT223,Taxation,G1,45,45,2,0,2,43,0.00,0.00, JIMMY LEE KIAT BEE,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT223,Taxation,G2,45,45,1,0,1,44,0.00,0.00, JIMMY LEE KIAT BEE,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT223,Taxation,G3,45,45,3,0,3,42,0.00,0.00, JIMMY LEE KIAT BEE,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT223,Taxation,G4,45,45,1,0,1,44,0.00,0.00, JIMMY LEE KIAT BEE,SOA
2022-23 Term 2,Regular Academic Session,Round 2A Window 3,ACCT224,Financial Reporting and Analysis,G1,45,45,2,0,2,43,0.00,0.00, GOH BENG WEE,SOA
